key;gender;frequency;probability;yoform
лавра;Ж;43;5.335771474814308e-07;лавра
лада;Ж;4600;5.708034600964144e-05;лада
лариса;Ж;83600;0.001037373244870875;лариса
ларисса;Ж;400;4.963508348664473e-06;ларисса
лаура;Ж;4100;5.087596057381085e-05;лаура
леда;Ж;90;1.1167893784495065e-06;леда
лемира;Ж;4;4.963508348664473e-08;лемира
ленина;Ж;49900;0.000619197666495893;ленина
леокадия;Ж;200;2.4817541743322365e-06;леокадия
леонида;Ж;100;1.2408770871661182e-06;леонида
леонилла;Ж;18;2.233578756899013e-07;леонилла
леония;Ж;3;3.722631261498355e-08;леония
леонтина;Ж;28;3.474455844065131e-07;леонтина
леонтия;Ж;6;7.44526252299671e-08;леонтия
лея;Ж;200;2.4817541743322365e-06;лея
лиана;Ж;7300;9.058402736312663e-05;лиана
ливия;Ж;6100;7.569350231713321e-05;ливия
лидия;Ж;29600;0.00036729961780117103;лидия
лизавета;Ж;700;8.686139610162828e-06;лизавета
лилиана;Ж;1500;1.8613156307491774e-05;лилиана
лилия;Ж;41300;0.0005124822369996069;лилия
лина;Ж;7900;9.802928988612334e-05;лина
лира;Ж;1000;1.2408770871661182e-05;лира
лия;Ж;4000;4.963508348664473e-05;лия
лолия;Ж;4;4.963508348664473e-08;лолия
лолла;Ж;57;7.072999396846874e-07;лолла
луиза;Ж;4900;6.08029772711398e-05;луиза
лукерья;Ж;200;2.4817541743322365e-06;лукерья
лукия;Ж;13;1.6131402133159538e-07;лукия
лукреция;Ж;28;3.474455844065131e-07;лукреция
любава;Ж;700;8.686139610162828e-06;любава
любовь;Ж;88100;0.0010932127137933503;любовь
любомила;Ж;100;1.2408770871661182e-06;любомила
любомира;Ж;200;2.4817541743322365e-06;любомира
людмила;Ж;200000;0.0024817541743322367;людмила
люция;Ж;1500;1.8613156307491774e-05;люция
мавра;Ж;27;3.3503681353485196e-07;мавра
магда;Ж;300;3.7226312614983547e-06;магда
магдалина;Ж;300;3.7226312614983547e-06;магдалина
маина;Ж;100;1.2408770871661182e-06;маина
майя;Ж;8700;0.00010795630658345229;майя
малания;Ж;43;5.335771474814308e-07;малания
маланья;Ж;15;1.8613156307491775e-07;маланья
малина;Ж;2100;2.6058418830488483e-05;малина
мальвина;Ж;1100;1.36496479588273e-05;мальвина
манефа;Ж;13;1.6131402133159538e-07;манефа
маргарита;Ж;37400;0.00046408803060012826;маргарита
мариам;Ж;800;9.927016697328946e-06;мариам
мариамна;Ж;8;9.927016697328946e-08;мариамна
мариана;Ж;800;9.927016697328946e-06;мариана
марианна;Ж;6700;8.313876484012993e-05;марианна
маримьяна;Ж;4;4.963508348664473e-08;маримьяна
марин;М;800;9.927016697328946e-06;марин
марина;Ж;200000;0.0024817541743322367;марина
марионелла;Ж;22;2.72992959176546e-07;марионелла
марионилла;Ж;2;2.4817541743322366e-08;марионилла
мария;Ж;200000;0.0024817541743322367;мария
марлена;Ж;42;5.211683766097696e-07;марлена
марта;Ж;10300;0.00012781033997811018;марта
мартина;Ж;600;7.4452625229967095e-06;мартина
мартиниана;Ж;1;1.2408770871661183e-08;мартиниана
марфа;Ж;800;9.927016697328946e-06;марфа
марья;Ж;1000;1.2408770871661182e-05;марья
марьям;Ж;2100;2.6058418830488483e-05;марьям
марьян;Ж;300;3.7226312614983547e-06;марьян
марьяна;Ж;4200;5.2116837660976966e-05;марьяна
мастридия;Ж;19;2.3576664656156247e-07;мастридия
матильда;Ж;300;3.7226312614983547e-06;матильда
матрена;Ж;300;3.7226312614983547e-06;матрёна
матрона;Ж;30;3.722631261498355e-07;матрона
мая;Ж;4100;5.087596057381085e-05;мая
мелания;Ж;200;2.4817541743322365e-06;мелания
меланья;Ж;200;2.4817541743322365e-06;меланья
мелитина;Ж;10;1.2408770871661184e-07;мелитина
милана;Ж;9200;0.00011416069201928288;милана
милена;Ж;6500;8.065701066579768e-05;милена
милица;Ж;200;2.4817541743322365e-06;милица
милия;Ж;37;4.5912452225146374e-07;милия
милослава;Ж;100;1.2408770871661182e-06;милослава
мина;М;1400;1.7372279220325655e-05;мина
минодора;Ж;5;6.204385435830592e-08;минодора
мира;Ж;9200;0.00011416069201928288;мира
звезда;Ж;2800;3.474455844065131e-05;звезда
миропия;Ж;25;3.1021927179152956e-07;миропия
мирослава;Ж;5200;6.452560853263815e-05;мирослава
мирра;Ж;300;3.7226312614983547e-06;мирра
михайла;Ж;100;1.2408770871661182e-06;михайла
михайлина;Ж;500;6.204385435830591e-06;михайлина
моника;Ж;5700;7.072999396846874e-05;моника
муза;Ж;600;7.4452625229967095e-06;муза
надежда;Ж;100000;0.0012408770871661183;надежда
нана;Ж;1100;1.36496479588273e-05;нана
настасия;Ж;200;2.4817541743322365e-06;настасия
настасья;Ж;2900;3.598543552781743e-05;настасья
наталия;Ж;74400;0.0009232125528515921;наталия
наталья;Ж;300000;0.0037226312614983548;наталья
нелли;Ж;7000;8.686139610162828e-05;нелли
ненила;Ж;3;3.722631261498355e-08;ненила
неолина;Ж;6;7.44526252299671e-08;неолина
неонила;Ж;400;4.963508348664473e-06;неонила
неонилла;Ж;56;6.948911688130262e-07;неонилла
ника;Ж;15300;0.0001898541943364161;ника
нила;Ж;400;4.963508348664473e-06;нила
нина;Ж;64800;0.0008040883524836446;нина
нинель;Ж;1200;1.4890525045993419e-05;нинель
новелла;Ж;44;5.45985918353092e-07;новелла
нонна;Ж;1600;1.9854033394657892e-05;нонна
ноябрина;Ж;16;1.9854033394657893e-07;ноябрина
нунехия;Ж;1;1.2408770871661183e-08;нунехия
оксана;Ж;200000;0.0024817541743322367;оксана
октавия;Ж;61;7.569350231713321e-07;октавия
октябрина;Ж;400;4.963508348664473e-06;октябрина
олда;Ж;2000;2.4817541743322365e-05;олда
олимпиада;Ж;300;3.7226312614983547e-06;олимпиада
олимпия;Ж;1700;2.109491048182401e-05;олимпия
ольга;Ж;400000;0.004963508348664473;ольга
павла;Ж;600;7.4452625229967095e-06;павла
павлина;Ж;400;4.963508348664473e-06;павлина
паисия;Ж;93;1.15401569106449e-06;паисия
палагея;Ж;2;2.4817541743322366e-08;палагея
пальмира;Ж;1200;1.4890525045993419e-05;пальмира
папа;Ж;2100;2.6058418830488483e-05;папа
параскева;Ж;45;5.583946892247532e-07;параскева
парасковея;Ж;3;3.722631261498355e-08;парасковея
парасковья;Ж;36;4.467157513798026e-07;парасковья
пелагея;Ж;900;1.1167893784495064e-05;пелагея
пелагия;Ж;46;5.708034600964144e-07;пелагия
петра;Ж;21900;0.0002717520820893799;петра
петрония;Ж;1;1.2408770871661183e-08;петрония
пиама;Ж;2;2.4817541743322366e-08;пиама
пистимея;Ж;1;1.2408770871661183e-08;пистимея
платонида;Ж;4;4.963508348664473e-08;платонида
победа;Ж;1600;1.9854033394657892e-05;победа
поликсена;Ж;91;1.1291981493211677e-06;поликсена
поликсения;Ж;6;7.44526252299671e-08;поликсения
полина;Ж;44100;0.0005472267954402582;полина
полинария;Ж;17;2.109491048182401e-07;полинария
прасковея;Ж;500;6.204385435830591e-06;прасковея
прасковья;Ж;700;8.686139610162828e-06;прасковья
пульхерия;Ж;100;1.2408770871661182e-06;пульхерия
рада;Ж;27000;0.00033503681353485193;рада
радислава;Ж;199;2.4693454034605753e-06;радислава
радмила;Ж;9000;0.00011167893784495065;радмила
радомира;Ж;147;1.824089318134194e-06;радомира
раиса;Ж;147000;0.0018240893181341938;раиса
раисья;Ж;36;4.467157513798026e-07;раисья
рафаила;Ж;30;3.722631261498355e-07;рафаила
рахиль;Ж;435;5.3978153291726145e-06;рахиль
рева;Ж;13000;0.00016131402133159537;рева
ревекка;Ж;493;6.117524039728963e-06;ревекка
ревмира;Ж;128;1.5883226715726314e-06;ревмира
регина;Ж;124000;0.0015386875880859868;регина
рената;Ж;30000;0.0003722631261498355;рената
римма;Ж;93000;0.00115401569106449;римма
рипсимия;Ж;16;1.9854033394657893e-07;рипсимия
рита;Ж;114000;0.001414599879369375;рита
рогнеда;Ж;1000;1.2408770871661182e-05;рогнеда
роза;Ж;156000;0.0019357682559791446;роза
розалия;Ж;18000;0.0002233578756899013;розалия
роксана;Ж;12000;0.0001489052504599342;роксана
романа;Ж;9000;0.00011167893784495065;романа
ростислава;Ж;2000;2.4817541743322365e-05;ростислава
руслана;Ж;53000;0.0006576648561980427;руслана
руфима;Ж;41;5.087596057381085e-07;руфима
руфина;Ж;16000;0.00019854033394657892;руфина
руфь;Ж;340;4.218982096364802e-06;руфь
сабина;Ж;67000;0.0008313876484012993;сабина
саломея;Ж;1000;1.2408770871661182e-05;саломея
саломия;Ж;58;7.197087105563486e-07;саломия
сальвия;Ж;141;1.7496366929042268e-06;сальвия
сатира;Ж;237;2.9408786965837005e-06;сатира
светислава;Ж;68;8.437964192729604e-07;светислава
светлана;Ж;3000000;0.03722631261498355;светлана
светозара;Ж;163;2.022629652080773e-06;светозара
свобода;Ж;14000;0.00017372279220325657;свобода
святослава;Ж;5000;6.204385435830592e-05;святослава
севастьяна;Ж;64;7.941613357863157e-07;севастьяна
секлетинья;Ж;10;1.2408770871661184e-07;секлетинья
серафима;Ж;12000;0.0001489052504599342;серафима
сильва;Ж;4000;4.963508348664473e-05;сильва
сильвана;Ж;184;2.2832138403856577e-06;сильвана
сильвия;Ж;5000;6.204385435830592e-05;сильвия
соломея;Ж;139;1.7248191511609044e-06;соломея
соломонида;Ж;20;2.4817541743322367e-07;соломонида
соломония;Ж;125;1.5510963589576478e-06;соломония
софия;Ж;239000;0.002965696238327023;софия
софья;Ж;137000;0.001700001609417582;софья
станислава;Ж;11000;0.00013649647958827301;станислава
стелла;Ж;23000;0.00028540173004820723;стелла
степанида;Ж;2000;2.4817541743322365e-05;степанида
стефана;Ж;180;2.233578756899013e-06;стефана
стефанида;Ж;308;3.821901428471644e-06;стефанида
стефания;Ж;7000;8.686139610162828e-05;стефания
сусанна;Ж;18000;0.0002233578756899013;сусанна
таиса;Ж;6000;7.44526252299671e-05;таиса
таисия;Ж;54000;0.0006700736270697039;таисия
таисья;Ж;2000;2.4817541743322365e-05;таисья
тамара;Ж;383000;0.004752559243846233;тамара
тамила;Ж;19000;0.00023576664656156247;тамила
тарасия;Ж;9;1.1167893784495065e-07;тарасия
татьяна;Ж;4000000;0.049635083486644735;татьяна
слава;Ж;273000;0.003387594447963503;слава
тереза;Ж;5000;6.204385435830592e-05;тереза
терезия;Ж;68;8.437964192729604e-07;терезия
томила;Ж;403;5.000734661279457e-06;томила
улита;Ж;309;3.834310199343305e-06;улита
ульяна;Ж;144000;0.0017868630055192104;ульяна
урсула;Ж;880;1.091971836706184e-05;урсула
устина;Ж;1000;1.2408770871661182e-05;устина
устиния;Ж;105;1.3029209415244242e-06;устиния
устинья;Ж;1000;1.2408770871661182e-05;устинья
фавста;Ж;22;2.72992959176546e-07;фавста
фавстина;Ж;18;2.233578756899013e-07;фавстина
фаина;Ж;31000;0.0003846718970214967;фаина
феврония;Ж;261;3.238689197503569e-06;феврония
февронья;Ж;98;1.2160595454227958e-06;февронья
федора;Ж;2000;2.4817541743322365e-05;федора
федосея;Ж;9;1.1167893784495065e-07;федосея
федосия;Ж;216;2.6802945082788157e-06;федосия
федосья;Ж;795;9.86497284297064e-06;федосья
федотия;Ж;23;2.854017300482072e-07;федотия
федотья;Ж;16;1.9854033394657893e-07;федотья
фекла;Ж;4000;4.963508348664473e-05;фёкла
феклинья;Ж;3;3.722631261498355e-08;феклинья
феликса;Ж;319;3.958397908059917e-06;феликса
фелисада;Ж;3;3.722631261498355e-08;фелисада
фелисата;Ж;13;1.6131402133159538e-07;фелисата
фелицата;Ж;938;1.1639427077618189e-05;фелицата
фелициана;Ж;7;8.686139610162828e-08;фелициана
фелиция;Ж;798;9.902199155585624e-06;фелиция
феодора;Ж;708;8.785409777136117e-06;феодора
феодосия;Ж;95000;0.0011788332328078123;феодосия
феодотия;Ж;21;2.605841883048848e-07;феодотия
феодулия;Ж;18;2.233578756899013e-07;феодулия
феоктиста;Ж;96;1.1912420036794737e-06;феоктиста
феона;Ж;204;2.5313892578188813e-06;феона
феония;Ж;17;2.109491048182401e-07;феония
феофана;Ж;23;2.854017300482072e-07;феофана
феофания;Ж;319;3.958397908059917e-06;феофания
феофила;Ж;45;5.583946892247532e-07;феофила
фетиния;Ж;19;2.3576664656156247e-07;фетиния
фетинья;Ж;17;2.109491048182401e-07;фетинья
фея;Ж;13000;0.00016131402133159537;фея
филиппа;Ж;445;5.5219030378892265e-06;филиппа
филиппина;Ж;70;8.686139610162828e-07;филиппина
филиппия;Ж;6;7.44526252299671e-08;филиппия
филомена;Ж;38;4.7153329312312494e-07;филомена
филонида;Ж;2;2.4817541743322366e-08;филонида
фиона;Ж;1000;1.2408770871661182e-05;фиона
фиония;Ж;5;6.204385435830592e-08;фиония
флавия;Ж;257;3.189054114016924e-06;флавия
флора;Ж;11000;0.00013649647958827301;флора
флорентина;Ж;729;9.045993965441003e-06;флорентина
флориана;Ж;108;1.3401472541394078e-06;флориана
флорида;Ж;4000000;0.049635083486644735;флорида
фотина;Ж;2000;2.4817541743322365e-05;фотина
